"","state","ABBstate"
"1","Alabama","AL"
"2","Alaska","AK"
"3","Arizona","AZ"
"4","Arkansas","AR"
"5","California","CA"
"6","Colorado","CO"
"7","Connecticut","CT"
"8","Delaware","DE"
"9","District of Columbia","DC"
"10","Florida","FL"
"11","Georgia","GA"
"12","Guam","GU"
"13","Hawaii","HI"
"14","Idaho","ID"
"15","Illinois","IL"
"16","Indiana","IN"
"17","Iowa","IA"
"18","Kansas","KS"
"19","Kentucky","KY"
"20","Louisiana","LA"
"21","Maine","ME"
"22","Mariana Islands","#N/A"
"23","Maryland","MD"
"24","Massachusetts","MA"
"25","Michigan","MI"
"26","Minnesota","MN"
"27","Mississippi","MS"
"28","Missouri","MO"
"29","Montana","MT"
"30","Nebraska","NE"
"31","Nevada","NV"
"32","New Hampshire","NH"
"33","New Jersey","NJ"
"34","New Mexico","NM"
"35","New York","NY"
"36","North Carolina","NC"
"37","North Dakota","ND"
"38","Ohio","OH"
"39","Oklahoma","OK"
"40","Oregon","OR"
"41","Pennsylvania","PA"
"42","Puerto Rico","PR"
"43","Rhode Island","RI"
"44","South Carolina","SC"
"45","South Dakota","SD"
"46","Tennessee","TN"
"47","Texas","TX"
"48","Utah","UT"
"49","Vermont","VT"
"50","Virgin Islands","VI"
"51","Virginia","VA"
"52","Washington","WA"
"53","West Virginia","WV"
"54","Wisconsin","WI"
"55","Wyoming","WY"
