,GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0," ""38000""",North Dakota,4,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,15730.3,16792.7,16983.7,17976.1,18919.6,20209,22077.4,23167.8,24417.3,26120,28679.7,31722.1,32002.5,35426.3,41179.2,51345.1,53881.7,58650,55012.2,50833.1,52472.3,56082.3
0," ""16000""",Idaho,7,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,29439,30983.9,34138.2,37992.8,37384.1,38715.3,40341.8,43739,47962.9,50976.3,53852.1,55546,53775,55170.7,56488.1,57764.4,61017.7,63521.8,66004.3,69029.4,72723.2,77052
0," ""56000""",Wyoming,7,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,14724.3,14928.2,15710.9,17205.4,18660.7,19115.6,21027.5,23186.7,27177.6,32405.1,36602.5,42540.4,36042.2,37401.2,39370.7,38431.7,38922.5,39436.1,37721.5,35740.3,37453.6,39118.5
0," ""54000""",West Virginia,5,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,38839.7,40086.1,41831,42606.9,43977.6,45433.7,46667.9,49271.7,53259,56530,58635.8,62066.7,62957.8,65274.1,68524.9,69399,71037.6,71919.2,70281,69721.4,73162.9,77437.6
0," ""55000""",Wisconsin,3,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,153240.7,162523,172258.1,180539,187939.3,194813.1,203134.7,215138.9,225697.9,235708.6,243766.7,244759.9,245539,254354.1,263881.6,274343.9,282384.6,293884.6,305816.5,313532.4,321987.7,336294
0," ""53000""",Washington,8,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,193897.6,210205,230554.9,237831.8,239425.7,248189.1,258262.8,270115.2,296100.7,317167.2,346442.8,355677.8,353632,365551.9,379539,400863.3,419345,442201.3,470329.3,491358.2,524814.6,565831
0," ""50000""",Vermont,1,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,15415,16073.1,17159.3,18311.9,19274.1,20163.3,21130.1,22666,23509.3,24309.8,24696.8,25678,25867.8,27108.4,28135.1,28887.4,29098.8,29701.3,30729.6,31659,32209.8,33256.3
0," ""51000""",Virginia,5,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,217251.9,233095.5,249798.3,266886.4,284001.9,293275.9,309981.2,332250.6,360299.8,379129.4,392917.3,399032.1,408918.7,422902,432392.7,444950,455070,463477.6,484216.6,493877.9,509372.8,532892.5
0," ""49000""",Utah,7,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,57699.7,62291.4,66022.6,70291.8,73226,75998.8,79149.1,85701.9,94194.9,106124.2,114652.7,115985.4,113332.9,117960.5,124539.4,128721,134252.1,141259.7,149371.6,157883.3,167254.6,178137.6
0," ""00000""",United States *, ,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,8577552,9062817,9630663,10252347,10581822,10936418,11458246,12213730,13036637,13814609,14451860,14712845,14448932,14992052,15542582,16197007,16784851,17527258,18224780,18715040,19519424,20580223
0," ""48000""",Texas,6,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,610256.5,645696.9,681335.4,738871,773006.7,787257.8,829764.4,906321,986401.3,1085294.9,1178583.1,1237394.9,1163401.3,1237196.8,1331220.6,1411378.7,1502249.8,1572818.4,1568457,1565632.2,1665631.8,1802511.2
0," ""47000""",Tennessee,5,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,154412.9,167308.4,175819.8,181629.5,185774.7,195289.2,203833.7,218020.6,228099.4,240193.9,244252.4,251609,250544.4,255935.8,267659.1,283721.8,292803.9,303809,322663.6,335025.7,345949.8,364104.9
0," ""96000""",Southwest,6,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,874281.6,920980.7,973835.7,1049508.2,1097234.1,1123889.5,1190654.7,1294631.2,1412879.9,1548035.3,1666371.1,1740145.8,1635084.6,1722307.3,1840829.1,1940752.8,2048478.5,2144752.3,2142503.9,2146680,2275762.8,2453659.3
0," ""95000""",Southeast,5,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,1829512.4,1947923.5,2076000.4,2179924.8,2272536.7,2364078.3,2490897.1,2674952.2,2886987.1,3057556.9,3154165.3,3192943,3141617.9,3239783.9,3324966,3431042.1,3537434.4,3673335.7,3844692.4,3962903.8,4126027.6,4333809
0," ""46000""",South Dakota,4,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,19000,20184.7,21050.8,22690.7,23512.8,26337.5,27445,29628.9,30659.4,31898.6,34701.6,36668.5,36193.1,37484.4,41541.5,43444.6,44814.9,46046.5,47752.3,48606.1,49738.7,52014.9
0," ""45000""",South Carolina,5,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,97393,103642.6,110251.8,115246.8,119301.4,124160.1,130337.4,135160.1,142616.6,150659.1,159362.5,161804.7,159835.6,163856.8,170087.2,175374.8,183014.9,191938.2,203920.9,212987.4,223111.1,233929.9
0," ""97000""",Rocky Mountain,7,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,257845.5,279030.1,300928.4,327980.8,339694.4,348673,362639.7,384547,419773,453644.7,487224.8,506501.2,487727.7,503727.4,525409.1,540442.4,565638.5,595284.5,617805.1,637479.2,674994.9,716384.2
0," ""44000""",Rhode Island,1,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,28929.9,30719.9,32295.5,34516.4,35992.1,38132.1,40272.8,43245.6,45162.4,47711.8,47845.6,47107.8,47901.4,49571.8,50175.9,51642,53209.9,54427.3,56759.4,57693.9,58506.3,60587.6
0," ""94000""",Plains,4,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,560926.9,587493.8,613249.8,653313.9,670896.1,697439.8,734780.4,781914.4,821556.1,857209.6,904920.4,933096.3,927356.4,964315.6,1008777.1,1057845.4,1093825.6,1140136,1173227,1188719.8,1222157.3,1277868
0," ""42000""",Pennsylvania,2,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,356146.1,372738.5,389715.7,407652.8,424965.2,436985.5,455106.8,481738.9,505584.6,526396.3,560753.4,582240.2,577379.8,599312.8,618987.7,641317.3,663900.8,691187.5,711205.4,726163.9,744290.1,783167.8
0," ""41000""",Oregon,8,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,100888.6,105111.5,107546.3,117258.3,117274.7,121229.5,127211.6,136238.5,143662.6,155153.3,161512,165189.1,160640.7,163827.6,170621.3,174493.1,179382.7,188880.2,203158.9,215050.4,226618.9,239782.8
0," ""40000""",Oklahoma,6,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,79096,81209.1,84062.9,90792.7,96767,99163,105243.3,113148.7,124563.3,137083.6,144893.3,159660,145736.4,152911.4,165035.6,173483.7,182618.4,195023.2,185936.7,178913.2,188368.1,202554.1
0," ""39000""",Ohio,3,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,343467.2,361629.1,376034.8,391137.8,395622.5,411967,424915.5,445541.1,465809.3,477180.4,490965,495742.6,480322,497208.2,525388.4,540819.3,561045.5,593355.1,610772.3,622835.2,645326,675905.2
0," ""36000""",New York,2,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,718322.5,745223.7,793721.1,838660.3,877149.3,886792.7,905280.6,955192,1015046.3,1071393.1,1108896,1099234.4,1152812.1,1213946.9,1236061.4,1322447.9,1355581.4,1427495.2,1487754.1,1539555.2,1604133.6,1668866.2
0," ""32000""",Nevada,8,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,60593.4,65315,71534.9,76627.1,80426.6,84733.5,90778.8,104420.6,117856.1,127575.7,131599.8,129372.4,121109.5,123598.1,126657.1,128043,130621.4,135153.2,144232.4,151215.1,158847.6,169309.9
0," ""35000""",New Mexico,6,SAGDP2N,Gross domestic product (GDP) by state,Millions of current dollars,1,...,All industry total,52511.1,50682.3,53092.8,55232.9,55986.2,58055.5,62895.9,69740.7,73684.2,77426.1,80572.8,83724.2,82017.4,83989.2,86625,87601.6,88411.2,92480.7,90969,91043.6,94267.1,100296.8
