"","Year","state","total_sum"
"1","1998","Alabama",36568
"2","1998","Alaska",3985
"3","1998","Arizona",17453
"4","1998","Arkansas",21752
"5","1998","California",67445
"6","1998","Colorado",23798
"7","1998","Connecticut",6870
"8","1998","Delaware",2135
"9","1998","District of Columbia",0
"10","1998","Florida",32341
"11","1998","Georgia",3819
"12","1998","Guam",9
"13","1998","Hawaii",431
"14","1998","Idaho",7339
"15","1998","Illinois",41477
"16","1998","Indiana",22518
"17","1998","Iowa",14650
"18","1998","Kansas",12386
"19","1998","Kentucky",31869
"20","1998","Louisiana",27642
"21","1998","Maine",4106
"22","1998","Mariana Islands",0
"23","1998","Maryland",9007
"24","1998","Massachusetts",1443
"25","1998","Michigan",30596
"26","1998","Minnesota",12116
"27","1998","Mississippi",26097
"28","1998","Missouri",24087
"29","1998","Montana",6406
"30","1998","Nebraska",6655
"31","1998","Nevada",6439
"32","1998","New Hampshire",2442
"33","1998","New Jersey",3795
"34","1998","New Mexico",9033
"35","1998","New York",14736
"36","1998","North Carolina",38943
"37","1998","North Dakota",2437
"38","1998","Ohio",32481
"39","1998","Oklahoma",20075
"40","1998","Oregon",14024
"41","1998","Pennsylvania",48317
"42","1998","Puerto Rico",513
"43","1998","Rhode Island",1059
"44","1998","South Carolina",9565
"45","1998","South Dakota",2751
"46","1998","Tennessee",24773
"47","1998","Texas",82399
"48","1998","Utah",10682
"49","1998","Vermont",2116
"50","1998","Virgin Islands",0
"51","1998","Virginia",25194
"52","1998","Washington",12002
"53","1998","West Virginia",14194
"54","1998","Wisconsin",15442
"55","1998","Wyoming",3486
"56","1999","Alabama",246756
"57","1999","Alaska",43073
"58","1999","Arizona",173548
"59","1999","Arkansas",184616
"60","1999","California",883144
"61","1999","Colorado",257308
"62","1999","Connecticut",87209
"63","1999","Delaware",17594
"64","1999","District of Columbia",21
"65","1999","Florida",279700
"66","1999","Georgia",409810
"67","1999","Guam",170
"68","1999","Hawaii",5343
"69","1999","Idaho",79914
"70","1999","Illinois",484848
"71","1999","Indiana",203182
"72","1999","Iowa",92222
"73","1999","Kansas",106108
"74","1999","Kentucky",248212
"75","1999","Louisiana",196015
"76","1999","Maine",47160
"77","1999","Mariana Islands",51
"78","1999","Maryland",91381
"79","1999","Massachusetts",24314
"80","1999","Michigan",307769
"81","1999","Minnesota",177929
"82","1999","Mississippi",182114
"83","1999","Missouri",206636
"84","1999","Montana",73027
"85","1999","Nebraska",47959
"86","1999","Nevada",62375
"87","1999","New Hampshire",37711
"88","1999","New Jersey",38601
"89","1999","New Mexico",94406
"90","1999","New York",186627
"91","1999","North Carolina",309707
"92","1999","North Dakota",29864
"93","1999","Ohio",297597
"94","1999","Oklahoma",169436
"95","1999","Oregon",160358
"96","1999","Pennsylvania",541555
"97","1999","Puerto Rico",5190
"98","1999","Rhode Island",10677
"99","1999","South Carolina",145493
"100","1999","South Dakota",31327
"101","1999","Tennessee",264214
"102","1999","Texas",710025
"103","1999","Utah",77718
"104","1999","Vermont",22218
"105","1999","Virgin Islands",0
"106","1999","Virginia",208554
"107","1999","Washington",133674
"108","1999","West Virginia",134471
"109","1999","Wisconsin",179340
"110","1999","Wyoming",35476
"111","2000","Alabama",221911
"112","2000","Alaska",39959
"113","2000","Arizona",148263
"114","2000","Arkansas",169628
"115","2000","California",794506
"116","2000","Colorado",307512
"117","2000","Connecticut",87586
"118","2000","Delaware",15347
"119","2000","District of Columbia",17
"120","2000","Florida",266035
"121","2000","Georgia",352357
"122","2000","Guam",279
"123","2000","Hawaii",6609
"124","2000","Idaho",77138
"125","2000","Illinois",449771
"126","2000","Indiana",182319
"127","2000","Iowa",87796
"128","2000","Kansas",96716
"129","2000","Kentucky",229896
"130","2000","Louisiana",174706
"131","2000","Maine",45028
"132","2000","Mariana Islands",13
"133","2000","Maryland",84309
"134","2000","Massachusetts",54843
"135","2000","Michigan",300661
"136","2000","Minnesota",185100
"137","2000","Mississippi",163980
"138","2000","Missouri",191578
"139","2000","Montana",71115
"140","2000","Nebraska",44825
"141","2000","Nevada",49807
"142","2000","New Hampshire",40120
"143","2000","New Jersey",37106
"144","2000","New Mexico",84034
"145","2000","New York",163974
"146","2000","North Carolina",290884
