"","state","year","population"
"1","Alabama",2010,4785448
"2","Alaska",2010,713906
"3","Arizona",2010,6407774
"4","Arkansas",2010,2921978
"5","California",2010,37320903
"6","Colorado",2010,5048281
"7","Connecticut",2010,3579125
"8","Delaware",2010,899595
"9","District of Columbia",2010,605085
"10","Florida",2010,18845785
"11","Georgia",2010,9711810
"12","Hawaii",2010,1363963
"13","Idaho",2010,1570773
"14","Illinois",2010,12840762
"15","Indiana",2010,6490436
"16","Iowa",2010,3050767
"17","Kansas",2010,2858213
"18","Kentucky",2010,4348200
"19","Louisiana",2010,4544532
"20","Maine",2010,1327632
"21","Maryland",2010,5788642
"22","Massachusetts",2010,6566431
"23","Michigan",2010,9877535
"24","Minnesota",2010,5310843
"25","Mississippi",2010,2970536
"26","Missouri",2010,5995976
"27","Montana",2010,990722
"28","Nebraska",2010,1829536
"29","Nevada",2010,2702464
"30","New Hampshire",2010,1316777
"31","New Jersey",2010,8799624
"32","New Mexico",2010,2064588
"33","New York",2010,19400080
"34","North Carolina",2010,9574293
"35","North Dakota",2010,674710
"36","Ohio",2010,11539327
"37","Oklahoma",2010,3759632
"38","Oregon",2010,3837532
"39","Pennsylvania",2010,12711158
"40","Rhode Island",2010,1053938
"41","South Carolina",2010,4635656
"42","South Dakota",2010,816165
"43","Tennessee",2010,6355301
"44","Texas",2010,25242679
"45","Utah",2010,2775334
"46","Vermont",2010,625880
"47","Virginia",2010,8023680
"48","Washington",2010,6742902
"49","West Virginia",2010,1854214
"50","Wisconsin",2010,5690479
"51","Wyoming",2010,564483
"52","Alabama",2011,4798834
"53","Alaska",2011,722038
"54","Arizona",2011,6473497
"55","Arkansas",2011,2940407
"56","California",2011,37641823
"57","Colorado",2011,5121771
"58","Connecticut",2011,3588023
"59","Delaware",2011,907316
"60","District of Columbia",2011,619602
"61","Florida",2011,19093352
"62","Georgia",2011,9801578
"63","Hawaii",2011,1379252
"64","Idaho",2011,1583828
"65","Illinois",2011,12867291
"66","Indiana",2011,6516045
"67","Iowa",2011,3066054
"68","Kansas",2011,2869035
"69","Kentucky",2011,4369488
"70","Louisiana",2011,4575184
"71","Maine",2011,1328150
"72","Maryland",2011,5838991
"73","Massachusetts",2011,6613149
"74","Michigan",2011,9881521
"75","Minnesota",2011,5345668
"76","Mississippi",2011,2978470
"77","Missouri",2011,6009641
"78","Montana",2011,997221
"79","Nebraska",2011,1840538
"80","Nevada",2011,2712799
"81","New Hampshire",2011,1319815
"82","New Jersey",2011,8827783
"83","New Mexico",2011,2080395
"84","New York",2011,19498514
"85","North Carolina",2011,9656754
"86","North Dakota",2011,685136
"87","Ohio",2011,11543463
"88","Oklahoma",2011,3787821
"89","Oregon",2011,3871728
"90","Pennsylvania",2011,12744583
"91","Rhode Island",2011,1053536
"92","South Carolina",2011,4671422
"93","South Dakota",2011,823484
"94","Tennessee",2011,6397410
"95","Texas",2011,25646227
"96","Utah",2011,2814216
"97","Vermont",2011,626979
"98","Virginia",2011,8100469
"99","Washington",2011,6821655
"100","West Virginia",2011,1856074
"101","Wisconsin",2011,5704755
"102","Wyoming",2011,567224
"103","Alabama",2012,4815564
"104","Alaska",2012,730399
"105","Arizona",2012,6556629
"106","Arkansas",2012,2952109
"107","California",2012,37960782
"108","Colorado",2012,5193721
"109","Connecticut",2012,3594395
"110","Delaware",2012,915188
"111","District of Columbia",2012,634725
"112","Florida",2012,19326230
"113","Georgia",2012,9901496
"114","Hawaii",2012,1394905
"115","Idaho",2012,1595441
"116","Illinois",2012,12884119
"117","Indiana",2012,6537640
"118","Iowa",2012,3076097
"119","Kansas",2012,2885361
"120","Kentucky",2012,4386381
"121","Louisiana",2012,4600814
"122","Maine",2012,1327691
"123","Maryland",2012,5887072
"124","Massachusetts",2012,6663158
"125","Michigan",2012,9896930
"126","Minnesota",2012,5376550
"127","Mississippi",2012,2983767
"128","Missouri",2012,6024081
"129","Montana",2012,1003754
"130","Nebraska",2012,1853323
"131","Nevada",2012,2744566
"132","New Hampshire",2012,1323962
"133","New Jersey",2012,8845483
"134","New Mexico",2012,2087549
"135","New York",2012,19574549
"136","North Carolina",2012,9749123
"137","North Dakota",2012,701116
"138","Ohio",2012,11548369
"139","Oklahoma",2012,3818600
"140","Oregon",2012,3899118
"141","Pennsylvania",2012,12766827
"142","Rhode Island",2012,1054601
"143","South Carolina",2012,4717112
"144","South Dakota",2012,833496
"145","Tennessee",2012,6451281
"146","Texas",2012,26089620
"147","Utah",2012,2853467
"148","Vermont",2012,626063
"149","Virginia",2012,8185229
"150","Washington",2012,6892876
"151","West Virginia",2012,1856764
"152","Wisconsin",2012,5719855
"153","Wyoming",2012,576270
"154","Alabama",2013,4830460
"155","Alaska",2013,737045
"156","Arizona",2013,6634999
"157","Arkansas",2013,2959549
"158","California",2013,38280824
"159","Colorado",2013,5270482
"160","Connecticut",2013,3594915
"161","Delaware",2013,923638
"162","District of Columbia",2013,650431
"163","Florida",2013,19563166
"164","Georgia",2013,9973326
"165","Hawaii",2013,1408453
"166","Idaho",2013,1611530
"167","Illinois",2013,12898269
"168","Indiana",2013,6568367
"169","Iowa",2013,3093078
"170","Kansas",2013,2893510
"171","Kentucky",2013,4404817
"172","Louisiana",2013,4624577
"173","Maine",2013,1328196
"174","Maryland",2013,5923704
"175","Massachusetts",2013,6713944
"176","Michigan",2013,9913349
"177","Minnesota",2013,5413693
"178","Mississippi",2013,2988797
"179","Missouri",2013,6040658
"180","Montana",2013,1013564
"181","Nebraska",2013,1865414
"182","Nevada",2013,2776972
"183","New Hampshire",2013,1326408
"184","New Jersey",2013,8858362
"185","New Mexico",2013,2092792
"186","New York",2013,19628043
"187","North Carolina",2013,9843599
"188","North Dakota",2013,721999
"189","Ohio",2013,11576576
"190","Oklahoma",2013,3853205
"191","Oregon",2013,3922908
"192","Pennsylvania",2013,12776621
"193","Rhode Island",2013,1055122
"194","South Carolina",2013,4764153
"195","South Dakota",2013,842270
"196","Tennessee",2013,6493432
"197","Texas",2013,26489464
"198","Utah",2013,2897927
"199","Vermont",2013,626212
"200","Virginia",2013,8253053
"201","Washington",2013,6962906
"202","West Virginia",2013,1853873
"203","Wisconsin",2013,5736952
"204","Wyoming",2013,582123
"205","Alabama",2014,4842481
"206","Alaska",2014,736307
"207","Arizona",2014,6733840
"208","Arkansas",2014,2967726
"209","California",2014,38625139
"210","Colorado",2014,5351218
"211","Connecticut",2014,3594783
"212","Delaware",2014,932596
"213","District of Columbia",2014,662513
"214","Florida",2014,19860330
"215","Georgia",2014,10069001
"216","Hawaii",2014,1414862
"217","Idaho",2014,1631479
"218","Illinois",2014,12888962
"219","Indiana",2014,6593533
"220","Iowa",2014,3109504
"221","Kansas",2014,2900896
"222","Kentucky",2014,4414483
"223","Louisiana",2014,4644204
"224","Maine",2014,1330760
"225","Maryland",2014,5958165
"226","Massachusetts",2014,6763652
"227","Michigan",2014,9930589
"228","Minnesota",2014,5451522
"229","Mississippi",2014,2990623
"230","Missouri",2014,6056293
"231","Montana",2014,1021891
"232","Nebraska",2014,1879522
"233","Nevada",2014,2819012
"234","New Hampshire",2014,1333223
"235","New Jersey",2014,8866780
"236","New Mexico",2014,2090342
"237","New York",2014,19656330
"238","North Carolina",2014,9933944
"239","North Dakota",2014,737382
"240","Ohio",2014,11602973
"241","Oklahoma",2014,3878367
"242","Oregon",2014,3964106
"243","Pennsylvania",2014,12789101
"244","Rhode Island",2014,1056017
"245","South Carolina",2014,4823793
"246","South Dakota",2014,849088
"247","Tennessee",2014,6540826
"248","Texas",2014,26977142
"249","Utah",2014,2937399
"250","Vermont",2014,625218
"251","Virginia",2014,8312076
"252","Washington",2014,7052439
"253","West Virginia",2014,1849467
"254","Wisconsin",2014,5751974
"255","Wyoming",2014,582548
"256","Alabama",2015,4853160
"257","Alaska",2015,737547
"258","Arizona",2015,6833596
"259","Arkansas",2015,2978407
"260","California",2015,38953142
"261","Colorado",2015,5452107
"262","Connecticut",2015,3587509
"263","Delaware",2015,941413
"264","District of Columbia",2015,675254
"265","Florida",2015,20224249
"266","Georgia",2015,10181111
"267","Hawaii",2015,1422484
"268","Idaho",2015,1651523
"269","Illinois",2015,12864342
"270","Indiana",2015,6608296
"271","Iowa",2015,3121460
"272","Kansas",2015,2909502
"273","Kentucky",2015,4425999
"274","Louisiana",2015,4664851
"275","Maine",2015,1328484
"276","Maryland",2015,5986717
"277","Massachusetts",2015,6795891
"278","Michigan",2015,9932573
"279","Minnesota",2015,5482503
"280","Mississippi",2015,2988693
"281","Missouri",2015,6071745
"282","Montana",2015,1030503
"283","Nebraska",2015,1891507
"284","Nevada",2015,2868666
"285","New Hampshire",2015,1336294
"286","New Jersey",2015,8870869
"287","New Mexico",2015,2090211
"288","New York",2015,19661411
"289","North Carolina",2015,10033079
"290","North Dakota",2015,754022
"291","Ohio",2015,11617850
"292","Oklahoma",2015,3909831
"293","Oregon",2015,4016918
"294","Pennsylvania",2015,12785759
"295","Rhode Island",2015,1056173
"296","South Carolina",2015,4892253
"297","South Dakota",2015,853933
"298","Tennessee",2015,6590808
"299","Texas",2015,27486814
"300","Utah",2015,2982497
"301","Vermont",2015,625197
"302","Virginia",2015,8362907
"303","Washington",2015,7163543
"304","West Virginia",2015,1841996
"305","Wisconsin",2015,5761406
"306","Wyoming",2015,585668
"307","Alabama",2016,4864745
"308","Alaska",2016,741504
"309","Arizona",2016,6945452
"310","Arkansas",2016,2990410
"311","California",2016,39209127
"312","Colorado",2016,5540921
"313","Connecticut",2016,3578674
"314","Delaware",2016,949216
"315","District of Columbia",2016,686575
"316","Florida",2016,20629982
"317","Georgia",2016,10304763
"318","Hawaii",2016,1428105
"319","Idaho",2016,1682930
"320","Illinois",2016,12826895
"321","Indiana",2016,6633344
"322","Iowa",2016,3131785
"323","Kansas",2016,2911263
"324","Kentucky",2016,4438229
"325","Louisiana",2016,4678215
"326","Maine",2016,1331370
"327","Maryland",2016,6004692
"328","Massachusetts",2016,6826022
"329","Michigan",2016,9951890
"330","Minnesota",2016,5523409
"331","Mississippi",2016,2988298
"332","Missouri",2016,6087203
"333","Montana",2016,1040863
"334","Nebraska",2016,1905924
"335","Nevada",2016,2919772
"336","New Hampshire",2016,1342373
"337","New Jersey",2016,8874516
"338","New Mexico",2016,2092789
"339","New York",2016,19641589
"340","North Carolina",2016,10156679
"341","North Dakota",2016,754353
"342","Ohio",2016,11635003
"343","Oklahoma",2016,3926769
"344","Oregon",2016,4091404
"345","Pennsylvania",2016,12783538
"346","Rhode Island",2016,1057063
"347","South Carolina",2016,4958235
"348","South Dakota",2016,862890
"349","Tennessee",2016,6645011
"350","Texas",2016,27937492
"351","Utah",2016,3042613
"352","Vermont",2016,623644
"353","Virginia",2016,8410946
"354","Washington",2016,7294680
"355","West Virginia",2016,1830929
"356","Wisconsin",2016,5772958
"357","Wyoming",2016,584290
"358","Alabama",2017,4875120
"359","Alaska",2017,739786
"360","Arizona",2017,7048876
"361","Arkansas",2017,3002997
"362","California",2017,39399349
"363","Colorado",2017,5615902
"364","Connecticut",2017,3573880
"365","Delaware",2017,957078
"366","District of Columbia",2017,695691
"367","Florida",2017,20976812
"368","Georgia",2017,10413055
"369","Hawaii",2017,1424203
"370","Idaho",2017,1718904
"371","Illinois",2017,12786196
"372","Indiana",2017,6660082
"373","Iowa",2017,3143637
"374","Kansas",2017,2910689
"375","Kentucky",2017,4453874
"376","Louisiana",2017,4670818
"377","Maine",2017,1335063
"378","Maryland",2017,6024891
"379","Massachusetts",2017,6863246
"380","Michigan",2017,9976447
"381","Minnesota",2017,5568155
"382","Mississippi",2017,2989663
"383","Missouri",2017,6108612
"384","Montana",2017,1053090
"385","Nebraska",2017,1917575
"386","Nevada",2017,2972405
"387","New Hampshire",2017,1349767
"388","New Jersey",2017,8888543
"389","New Mexico",2017,2093395
"390","New York",2017,19590719
"391","North Carolina",2017,10270800
"392","North Dakota",2017,755176
"393","Ohio",2017,11664129
"394","Oklahoma",2017,3932640
"395","Oregon",2017,4146592
"396","Pennsylvania",2017,12790447
"397","Rhode Island",2017,1056486
"398","South Carolina",2017,5021219
"399","South Dakota",2017,873286
"400","Tennessee",2017,6708794
"401","Texas",2017,28322717
"402","Utah",2017,3103118
"403","Vermont",2017,624525
"404","Virginia",2017,8465207
"405","Washington",2017,7425432
"406","West Virginia",2017,1817048
"407","Wisconsin",2017,5792051
"408","Wyoming",2017,578934
"409","Alabama",2018,4887871
"410","Alaska",2018,737438
"411","Arizona",2018,7171646
"412","Arkansas",2018,3013825
"413","California",2018,39557045
"414","Colorado",2018,5695564
"415","Connecticut",2018,3572665
"416","Delaware",2018,967171
"417","District of Columbia",2018,702455
"418","Florida",2018,21299325
"419","Georgia",2018,10519475
"420","Hawaii",2018,1420491
"421","Idaho",2018,1754208
"422","Illinois",2018,12741080
"423","Indiana",2018,6691878
"424","Iowa",2018,3156145
"425","Kansas",2018,2911505
"426","Kentucky",2018,4468402
"427","Louisiana",2018,4659978
"428","Maine",2018,1338404
"429","Maryland",2018,6042718
"430","Massachusetts",2018,6902149
"431","Michigan",2018,9995915
"432","Minnesota",2018,5611179
"433","Mississippi",2018,2986530
"434","Missouri",2018,6126452
"435","Montana",2018,1062305
"436","Nebraska",2018,1929268
"437","Nevada",2018,3034392
"438","New Hampshire",2018,1356458
"439","New Jersey",2018,8908520
"440","New Mexico",2018,2095428
"441","New York",2018,19542209
"442","North Carolina",2018,10383620
"443","North Dakota",2018,760077
"444","Ohio",2018,11689442
"445","Oklahoma",2018,3943079
"446","Oregon",2018,4190713
"447","Pennsylvania",2018,12807060
"448","Rhode Island",2018,1057315
"449","South Carolina",2018,5084127
"450","South Dakota",2018,882235
"451","Tennessee",2018,6770010
"452","Texas",2018,28701845
"453","Utah",2018,3161105
"454","Vermont",2018,626299
"455","Virginia",2018,8517685
"456","Washington",2018,7535591
"457","West Virginia",2018,1805832
"458","Wisconsin",2018,5813568
"459","Wyoming",2018,577737
