"","year","state","total_TOLL"
"1",2013,"Alabama",12
"2",2013,"Arizona",24
"3",2013,"California",185
"4",2013,"Colorado",13
"5",2013,"Connecticut",15
"6",2013,"Delaware",13
"7",2013,"District of Columbia",44
"8",2013,"Florida",58
"9",2013,"Georgia",31
"10",2013,"Illinois",92
"11",2013,"Indiana",29
"12",2013,"Kansas",20
"13",2013,"Kentucky",13
"14",2013,"Louisiana",60
"15",2013,"Maryland",21
"16",2013,"Michigan",71
"17",2013,"Minnesota",8
"18",2013,"Mississippi",8
"19",2013,"Missouri",48
"20",2013,"Nebraska",4
"21",2013,"Nevada",4
"22",2013,"New Jersey",44
"23",2013,"New Mexico",9
"24",2013,"New York",71
"25",2013,"North Carolina",52
"26",2013,"Ohio",40
"27",2013,"Oklahoma",26
"28",2013,"Pennsylvania",71
"29",2013,"Rhode Island",8
"30",2013,"South Carolina",23
"31",2013,"Tennessee",43
"32",2013,"Texas",65
"33",2013,"Utah",5
"34",2013,"Virginia",32
"35",2013,"Washington",20
"36",2013,"West Virginia",10
"37",2013,"Wisconsin",4
"38",2014,"Alabama",916
"39",2014,"Alaska",78
"40",2014,"Arizona",442
"41",2014,"Arkansas",400
"42",2014,"California",2927
"43",2014,"Colorado",313
"44",2014,"Connecticut",281
"45",2014,"Delaware",231
"46",2014,"District of Columbia",390
"47",2014,"Florida",2336
"48",2014,"Georgia",1339
"49",2014,"Hawaii",21
"50",2014,"Idaho",57
"51",2014,"Illinois",2913
"52",2014,"Indiana",930
"53",2014,"Iowa",231
"54",2014,"Kansas",252
"55",2014,"Kentucky",512
"56",2014,"Louisiana",1386
"57",2014,"Maine",47
"58",2014,"Maryland",896
"59",2014,"Massachusetts",416
"60",2014,"Michigan",977
"61",2014,"Minnesota",279
"62",2014,"Mississippi",548
"63",2014,"Missouri",1030
"64",2014,"Montana",62
"65",2014,"Nebraska",199
"66",2014,"Nevada",303
"67",2014,"New Hampshire",60
"68",2014,"New Jersey",906
"69",2014,"New Mexico",172
"70",2014,"New York",1362
"71",2014,"North Carolina",1371
"72",2014,"North Dakota",39
"73",2014,"Ohio",1614
"74",2014,"Oklahoma",409
"75",2014,"Oregon",222
"76",2014,"Pennsylvania",1835
"77",2014,"Rhode Island",94
"78",2014,"South Carolina",970
"79",2014,"South Dakota",36
"80",2014,"Tennessee",1209
"81",2014,"Texas",2251
"82",2014,"Utah",131
"83",2014,"Vermont",47
"84",2014,"Virginia",862
"85",2014,"Washington",417
"86",2014,"West Virginia",189
"87",2014,"Wisconsin",624
"88",2014,"Wyoming",27
"89",2015,"Alabama",947
"90",2015,"Alaska",154
"91",2015,"Arizona",408
"92",2015,"Arkansas",400
"93",2015,"California",2821
"94",2015,"Colorado",458
"95",2015,"Connecticut",421
"96",2015,"Delaware",264
"97",2015,"District of Columbia",469
"98",2015,"Florida",2343
"99",2015,"Georgia",1691
"100",2015,"Hawaii",39
"101",2015,"Idaho",76
"102",2015,"Illinois",3510
"103",2015,"Indiana",1049
"104",2015,"Iowa",253
"105",2015,"Kansas",317
"106",2015,"Kentucky",655
"107",2015,"Louisiana",1399
"108",2015,"Maine",62
"109",2015,"Maryland",1187
"110",2015,"Massachusetts",491
"111",2015,"Michigan",995
"112",2015,"Minnesota",278
"113",2015,"Mississippi",557
"114",2015,"Missouri",1413
"115",2015,"Montana",72
"116",2015,"Nebraska",236
"117",2015,"Nevada",417
"118",2015,"New Hampshire",48
"119",2015,"New Jersey",740
"120",2015,"New Mexico",275
"121",2015,"New York",1984
"122",2015,"North Carolina",1589
"123",2015,"North Dakota",51
"124",2015,"Ohio",1841
"125",2015,"Oklahoma",630
"126",2015,"Oregon",316
"127",2015,"Pennsylvania",1572
"128",2015,"Rhode Island",101
"129",2015,"South Carolina",1121
"130",2015,"South Dakota",53
"131",2015,"Tennessee",1416
"132",2015,"Texas",2491
"133",2015,"Utah",169
"134",2015,"Vermont",33
"135",2015,"Virginia",1099
"136",2015,"Washington",500
"137",2015,"West Virginia",217
"138",2015,"Wisconsin",787
"139",2015,"Wyoming",36
"140",2016,"Alabama",1249
"141",2016,"Alaska",191
"142",2016,"Arizona",571
"143",2016,"Arkansas",541
"144",2016,"California",3161
"145",2016,"Colorado",506
"146",2016,"Connecticut",426
"147",2016,"Delaware",229
"148",2016,"District of Columbia",445
"149",2016,"Florida",2847
