State,Parties,ABBstate
Alabama,R,AL
Alaska,R,AK
Arizona,R,AZ
Arkansas,R,AR
California,D,CA
Colorado,D,CO
Connecticut,D,CT
Delaware,D,DE
District of Columbia,D,DC
Florida,D,FL
Georgia,R,GA
Hawaii,D,HI
Idaho,R,ID
Illinois,D,IL
Indiana,R,IN
Iowa,D,IA
Kansas,R,KS
Kentucky,R,KY
Louisiana,R,LA
Maine,D,ME
Maryland,D,MD
Massachusetts,D,MA
Michigan,D,MI
Minnesota,D,MN
Mississippi,R,MS
Missouri,R,MO
Montana,R,MT
Nebraska,R,NE
Nevada,D,NV
New Hampshire,D,NH
New Jersey,D,NJ
New Mexico,D,NM
New York,D,NY
North Carolina,R,NC
North Dakota,R,ND
Ohio,D,OH
Oklahoma,R,OK
Oregon,D,OR
Pennsylvania,D,PA
Rhode Island,D,RI
South Carolina,R,SC
South Dakota,R,SD
Tennessee,R,TN
Texas,R,TX
Utah,R,UT
Vermont,D,VT
Virginia,D,VA
Washington,D,WA
West Virginia,R,WV
Wisconsin,D,WI
Wyoming,R,WY
